Customer ID,TotalSales,TotalQuantity,TotalOrders,NumberOfProducts,CustomerSegment
12346.0,77556.46,74285,12,26,High Value
12347.0,4921.53,2967,8,126,Medium Value
12348.0,2019.4,2714,5,28,Medium Value
12349.0,4428.69,1624,4,145,Medium Value
12350.0,334.4,197,1,17,Low Value
12351.0,300.93,261,1,21,Low Value
12352.0,2849.84,724,10,70,Medium Value
12353.0,406.76,212,2,23,Low Value
12354.0,1079.4,530,1,58,Medium Value
12355.0,947.61,543,2,35,Low Value
12356.0,6371.73,3416,6,104,High Value
12357.0,18287.66,6587,3,264,High Value
12358.0,3887.07,1079,5,56,Medium Value
12359.0,8873.39,2739,10,310,High Value
12360.0,4252.89,2459,8,163,Medium Value
12361.0,511.25,235,4,19,Low Value
12362.0,5356.23,2230,11,201,High Value
12363.0,552.0,408,2,23,Low Value
12364.0,1313.1,1506,4,70,Medium Value
12365.0,641.38,174,2,22,Low Value
12366.0,500.24,296,1,3,Low Value
12367.0,168.9,173,1,11,Low Value
12368.0,917.7,330,1,18,Low Value
12369.0,1791.15,1241,3,90,Medium Value
12370.0,4316.56,2604,7,170,Medium Value
12371.0,4067.38,1436,5,136,Medium Value
12372.0,1298.04,794,3,34,Medium Value
12373.0,1127.65,516,3,38,Medium Value
12374.0,2989.22,1362,4,80,Medium Value
12375.0,457.5,178,2,14,Low Value
12376.0,503.15,240,2,11,Low Value
12377.0,3426.32,2105,4,129,Medium Value
12378.0,5416.32,3316,2,295,High Value
12379.0,1620.22,815,4,64,Medium Value
12380.0,9676.3,3355,11,179,High Value
12381.0,1845.31,808,5,70,Medium Value
12383.0,1850.56,1532,5,84,Medium Value
12384.0,585.27,126,2,26,Low Value
12385.0,1938.4,612,1,65,Medium Value
12386.0,401.9,354,2,10,Low Value
12387.0,143.94,134,1,9,Low Value
12388.0,3901.11,2001,8,84,Medium Value
12389.0,1433.33,614,3,42,Medium Value
12390.0,549.84,353,1,32,Low Value
12391.0,2724.84,1204,6,245,Medium Value
12392.0,234.75,73,1,7,Low Value
12393.0,2399.45,1311,6,65,Medium Value
12394.0,1272.48,819,2,26,Medium Value
12395.0,4721.17,3205,15,151,Medium Value
12396.0,931.43,591,1,65,Low Value
12397.0,2409.9,1263,2,110,Medium Value
12398.0,1635.66,1394,1,85,Medium Value
12399.0,1962.3,2198,7,70,Medium Value
12400.0,205.25,91,1,11,Low Value
12401.0,84.3,11,1,5,Low Value
12402.0,1256.9,584,6,43,Medium Value
12403.0,1019.36,260,2,8,Medium Value
12404.0,63.24,1,1,1,Low Value
12405.0,1710.39,857,1,54,Medium Value
12406.0,6390.36,3416,5,124,High Value
12407.0,1708.12,1416,5,57,Medium Value
12408.0,4340.77,2229,8,104,Medium Value
12409.0,23419.29,13143,7,185,High Value
12410.0,1013.71,341,3,37,Medium Value
12411.0,346.9,138,1,22,Low Value
12412.0,2596.93,1997,6,84,Medium Value
12413.0,999.45,319,4,41,Low Value
12414.0,952.41,495,6,22,Low Value
12415.0,144458.37,91447,28,520,High Value
12416.0,202.56,132,1,11,Low Value
12417.0,6797.41,2884,20,279,High Value
12418.0,2021.2,1088,4,92,Medium Value
12419.0,503.01,231,2,23,Low Value
12420.0,600.39,345,1,29,Low Value
12421.0,1098.6,652,6,44,Medium Value
12422.0,5231.8,2596,17,141,High Value
12423.0,2622.39,1793,10,127,Medium Value
12424.0,3340.03,2025,4,79,Medium Value
12425.0,1741.41,1147,2,89,Medium Value
12426.0,1345.21,584,2,74,Medium Value
12427.0,825.8,533,3,26,Low Value
12428.0,7956.46,3536,9,259,High Value
12429.0,6204.41,2890,8,125,High Value
12430.0,256.4,117,1,11,Low Value
