Product,TotalSales,SalesRank,TotalQuantity,SalesContributionPercent
Manual,339614.86,1,9635,1.66
REGENCY CAKESTAND 3 TIER,330590.32,2,26478,1.61
DOTCOM POSTAGE,309854.11,3,1415,1.51
WHITE HANGING HEART T-LIGHT HOLDER,260990.22,4,94658,1.27
"PAPER CRAFT , LITTLE BIRDIE",168469.6,5,80995,0.82
PARTY BUNTING,148318.28,6,28200,0.72
JUMBO BAG RED RETROSPOT,148073.47,7,77699,0.72
ASSORTED COLOUR BIRD ORNAMENT,129324.49,8,80082,0.63
POSTAGE,125682.42,9,5363,0.61
PAPER CHAIN KIT 50'S CHRISTMAS,117760.29,10,35084,0.58
MEDIUM CERAMIC TOP STORAGE JAR,81700.92,11,78033,0.4
CHILLI LIGHTS,80540.88,12,15841,0.39
ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,13,31409,0.35
JUMBO BAG STRAWBERRY,69002.13,14,37061,0.34
RABBIT NIGHT LIGHT,66870.03,15,30739,0.33
BLACK RECORD COVER FRAME,65189.29,16,18739,0.32
JUMBO STORAGE BAG SUKI,61537.55,17,29182,0.3
VINTAGE UNION JACK BUNTING,60286.04,18,6900,0.29
EDWARDIAN PARASOL NATURAL,60145.85,19,11459,0.29
HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,20,11677,0.29
JUMBO  BAG BAROQUE BLACK WHITE,59142.78,21,30657,0.29
PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.7,22,18634,0.29
CHOCOLATE HOT WATER BOTTLE,57981.94,23,11065,0.28
JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,24,27281,0.28
WOOD BLACK BOARD ANT WHITE FINISH,56745.73,25,9831,0.28
HEART OF WICKER LARGE,53506.13,26,17773,0.26
VICTORIAN GLASS HANGING T-LIGHT,52382.82,27,40081,0.26
RED HANGING HEART T-LIGHT HOLDER,50346.49,28,17575,0.25
JUMBO BAG PINK POLKADOT,50081.96,29,25235,0.24
SCOTTIE DOG HOT WATER BOTTLE,49771.94,30,9776,0.24
JUMBO BAG PINK VINTAGE PAISLEY,49651.99,31,25608,0.24
CREAM HEART CARD HOLDER,49300.94,32,16186,0.24
HEART OF WICKER SMALL,48935.11,33,27908,0.24
EDWARDIAN PARASOL BLACK,48723.77,34,9620,0.24
RED RETROSPOT CAKE STAND,48564.29,35,4635,0.24
RED TOADSTOOL LED NIGHT LIGHT,48315.84,36,28910,0.24
NATURAL SLATE HEART CHALKBOARD,47288.23,37,15373,0.23
STRAWBERRY CERAMIC TRINKET BOX,47169.35,38,36628,0.23
WOODEN FRAME ANTIQUE WHITE,46967.09,39,15679,0.23
HOME BUILDING BLOCK WORD,46516.99,40,7595,0.23
PLEASE ONE PERSON METAL SIGN,46249.07,41,22865,0.23
BAKING SET 9 PIECE RETROSPOT,45882.01,42,9366,0.22
LUNCH BAG  BLACK SKULL.,45655.27,43,26678,0.22
VINTAGE UNION JACK MEMOBOARD,45402.18,44,6165,0.22
ROUND SNACK BOXES SET OF4 WOODLAND,44063.04,45,15380,0.22
SET/4 WHITE RETRO STORAGE CUBES,43844.96,46,1128,0.21
RED WOOLLY HOTTIE WHITE HEART.,42994.24,47,10628,0.21
SMALL POPCORN HOLDER,42699.89,48,48561,0.21
RED  HARMONICA IN BOX,42664.54,49,36289,0.21
GIN + TONIC DIET METAL SIGN,42613.98,50,20178,0.21
SPOTTY BUNTING,42513.48,51,8320,0.21
LUNCH BAG CARS BLUE,42270.3,52,24596,0.21
DOORMAT UNION FLAG,42239.5,53,6302,0.21
WOODEN PICTURE FRAME WHITE FINISH,41837.6,54,16914,0.2
CHARLOTTE BAG SUKI DESIGN,41580.97,55,27550,0.2
COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,56,14077,0.2
LUNCH BAG RED RETROSPOT,41043.02,57,22232,0.2
JUMBO BAG OWLS,40667.05,58,20814,0.2
PICNIC BASKET WICKER 60 PIECES,39619.5,59,61,0.19
CREAM SWEETHEART MINI CHEST,38599.98,60,3091,0.19
LUNCH BAG WOODLAND,38506.74,61,22118,0.19
DOORMAT HEARTS,38428.12,62,6026,0.19
JAM MAKING SET WITH JARS,38380.11,63,9019,0.19
COOK WITH WINE METAL SIGN,38138.86,64,19932,0.19
DOORMAT KEEP CALM AND COME IN,38133.64,65,5487,0.19
SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,66,7483,0.19
SPACEBOY LUNCH BOX,37955.5,67,20807,0.19
ROSES REGENCY TEACUP AND SAUCER,37682.8,68,12860,0.18
