Product,TotalSales,SalesRank,TotalQuantity,SalesContributionPercent
Manual,339614.86,1,9635,1.66
REGENCY CAKESTAND 3 TIER,330590.32,2,26478,1.61
DOTCOM POSTAGE,309854.11,3,1415,1.51
WHITE HANGING HEART T-LIGHT HOLDER,260990.22,4,94658,1.27
"PAPER CRAFT , LITTLE BIRDIE",168469.6,5,80995,0.82
PARTY BUNTING,148318.28,6,28200,0.72
JUMBO BAG RED RETROSPOT,148073.47,7,77699,0.72
ASSORTED COLOUR BIRD ORNAMENT,129324.49,8,80082,0.63
POSTAGE,125682.42,9,5363,0.61
PAPER CHAIN KIT 50'S CHRISTMAS,117760.29,10,35084,0.58
