Product,TotalSales,SalesRank,TotalQuantity,SalesContributionPercent
WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.61,150,106139,0.12
WHITE HANGING HEART T-LIGHT HOLDER,260990.22,4,94658,1.27
"PAPER CRAFT , LITTLE BIRDIE",168469.6,5,80995,0.82
ASSORTED COLOUR BIRD ORNAMENT,129324.49,8,80082,0.63
MEDIUM CERAMIC TOP STORAGE JAR,81700.92,11,78033,0.4
JUMBO BAG RED RETROSPOT,148073.47,7,77699,0.72
BROCADE RING PURSE,14766.42,296,70369,0.07
PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,112,56061,0.14
60 TEATIME FAIRY CAKE CASES,27041.21,124,54028,0.13
SMALL POPCORN HOLDER,42699.89,48,48561,0.21
